Country Name,Country Code,Gini 1618
Sao Tome and Principe,STP,56.3
Eswatini,SWZ,54.6
Brazil,BRA,53.5
Angola,AGO,51.3
Honduras,HND,51.2
St. Lucia,LCA,51.2
Colombia,COL,50.3
Panama,PAN,49.8
Costa Rica,CRI,48.3
Paraguay,PRY,47.6
Mexico,MEX,45.9
Ecuador,ECU,45.0
Lesotho,LSO,44.9
Malawi,MWI,44.7
Chile,CHL,44.4
Zimbabwe,ZWE,44.3
Dominican Republic,DOM,43.9
Rwanda,RWA,43.7
Bolivia,BOL,43.6
Ghana,GHA,43.5
Peru,PER,43.2
Uganda,UGA,42.8
Turkey,TUR,41.7
Djibouti,DJI,41.6
Argentina,ARG,41.5
United States,USA,41.4
Bulgaria,BGR,40.5
Tanzania,TZA,40.5
"Iran, Islamic Rep.",IRN,40.4
Sri Lanka,LKA,39.8
Uruguay,URY,39.6
Indonesia,IDN,39.4
Israel,ISR,39.0
El Salvador,SLV,38.9
China,CHN,38.5
Gabon,GAB,38.0
Lithuania,LTU,37.9
Serbia,SRB,37.5
Bhutan,BTN,37.4
Russian Federation,RUS,37.2
Georgia,GEO,37.0
Mauritius,MUS,36.8
Thailand,THA,36.6
Sierra Leone,SLE,35.7
Italy,ITA,35.6
Vietnam,VNM,35.5
Liberia,LBR,35.3
Spain,ESP,35.3
Romania,ROU,35.2
Latvia,LVA,35.0
United Kingdom,GBR,34.8
Greece,GRC,34.7
Portugal,PRT,34.5
North Macedonia,MKD,34.4
Luxembourg,LUX,34.0
West Bank and Gaza,PSE,33.7
Armenia,ARM,33.5
Albania,ALB,33.5
Switzerland,CHE,32.9
Ireland,IRL,32.8
Mongolia,MNG,32.5
Bangladesh,BGD,32.4
Cyprus,CYP,32.2
Germany,DEU,31.9
France,FRA,31.8
"Egypt, Arab Rep.",EGY,31.5
Maldives,MDV,31.3
Estonia,EST,30.8
Myanmar,MMR,30.7
Croatia,HRV,30.7
Hungary,HUN,30.5
Poland,POL,30.5
Austria,AUT,30.3
Sweden,SWE,29.2
Malta,MLT,29.2
Denmark,DNK,28.5
Netherlands,NLD,28.4
Kosovo,XKX,27.9
Norway,NOR,27.8
Belgium,BEL,27.5
Kazakhstan,KAZ,27.4
Kyrgyz Republic,KGZ,27.3
Finland,FIN,27.3
Moldova,MDA,26.0
Ukraine,UKR,25.7
Belarus,BLR,25.3
Slovak Republic,SVK,25.2
Czech Republic,CZE,25.2
Slovenia,SVN,24.5