postal_code,FIPS,dem,gop,total
IN,18171,974,3401,4473
IN,18173,11919,21324,33884
IN,18175,2783,9112,12126
IN,18177,9524,17567,27662
IN,18179,2928,10855,14080
IN,18181,2868,7353,10402
IN,18183,4233,12856,17581
IA,19001,1197,2917,4183
IA,19003,590,1528,2158
IA,19005,2575,4733,7459
IA,19007,1891,4512,6506
IA,19009,1071,2295,3416
IA,19011,5156,9179,14627
IA,19013,35621,29623,66549
IA,19015,6303,8695,15306
IA,19017,5954,8287,14534
IA,19019,4169,6420,10764
IA,19021,2919,5004,8072
IA,19023,2424,5542,8084
IA,19025,1470,3689,5249
IA,19027,3454,7737,11306
IA,19029,2201,4969,7266
IA,19031,4337,6161,10703
IA,19033,10941,12435,23794
IA,19035,1936,4495,6503
IA,19037,2233,4308,6617
IA,19039,1466,3140,4666
IA,19041,2662,6137,8948
IA,19043,3340,6106,9581
IA,19045,10806,13349,24669
IA,19047,2220,4854,7146
IA,19049,26879,27987,55847
IA,19051,1013,3032,4099
IA,19053,1120,2615,3801
IA,19055,3157,6666,9981
IA,19057,8887,10589,19947
IA,19059,3661,7438,11230
IA,19061,25655,27214,53924
IA,19063,1520,3265,4850
IA,19065,3834,6145,10184
IA,19067,3168,4730,8026
IA,19069,1626,3422,5119
IA,19071,1078,2711,3855
IA,19073,1768,3221,5054
IA,19075,2206,4929,7260
IA,19077,1985,4272,6369
IA,19079,2842,4956,8516
IA,19081,1683,4390,6161
IA,19083,2976,5850,8975
IA,19085,2440,5569,8144
IA,19087,3275,6507,9964
IA,19089,1772,3127,4952
IA,19091,1442,3819,5321
IA,19093,917,2876,3845
IA,19095,3547,6009,9716
IA,19097,4029,6940,11118
IA,19099,7737,12082,20181
IA,19101,4314,4442,8952
IA,19103,59177,22925,83570
IA,19105,4213,6572,10965
IA,19107,1414,3797,5291
IA,19109,2696,6275,9077
IA,19111,6539,9763,16721
IA,19113,70451,53098,126716
IA,19115,1726,3500,5326
IA,19117,1284,3287,4630
IA,19119,1067,5707,6852
IA,19121,3134,6507,9806
IA,19123,2894,8297,11381
IA,19125,6170,12657,19217
IA,19127,8171,9564,18122
IA,19129,2500,5572,8247
IA,19131,2053,3677,5815
IA,19133,1407,3248,4714
IA,19135,1078,2975,4085
IA,19137,1583,3659,5320
IA,19139,9372,10823,20629
IA,19141,1569,5861,7541
IA,19143,600,2688,3325
IA,19145,2081,5314,7509
IA,19147,1519,3370,4950
IA,19149,3494,10492,14165
IA,19151,932,2825,3821
IA,19153,146250,106800,257991
IA,19155,18570,26241,45733
IA,19157,4306,5657,10124
IA,19159,708,1964,2709
IA,19161,1389,4061,5527
IA,19163,46890,43661,92639
IA,19165,1959,4697,6781
IA,19167,3019,15680,18956
IA,19169,28975,20200,50668
IA,19171,3577,5303,9026
IA,19173,746,2463,3242
IA,19175,2061,4010,6171
IA,19177,875,2859,3788
IA,19179,5821,9516,15613
IA,19181,12537,17738,30955
IA,19183,4558,6966,11757
IA,19185,727,2338,3103
IA,19187,6604,10927,17802
IA,19189,2135,3707,5951
IA,19191,5617,6235,12036
IA,19193,18704,25736,45172
IA,19195,1596,2738,4414
IA,19197,1996,4136,6242
KS,20001,1559,4155,5842
KS,20003,765,2874,3720
KS,20005,2314,4826,7312
KS,20007,284,1992,2313
KS,20009,2302,8480,10961
KS,20011,1505,4910,6550
KS,20013,1088,3206,4396
KS,20015,9003,22250,31946
KS,20017,341,1114,1478
KS,20019,212,1397,1634
KS,20021,2163,6622,8945
KS,20023,220,1158,1400
KS,20025,143,885,1048
KS,20027,883,3129,4134
KS,20029,893,3182,4174
KS,20031,928,3407,4448
KS,20033,126,745,904
KS,20035,4171,9442,13911
KS,20037,5971,9752,16125
KS,20039,208,1232,1458
KS,20041,2040,7045,9246
KS,20043,678,2949,3674
KS,20045,39436,16737,57540
KS,20047,267,1127,1413
KS,20049,191,1130,1347
KS,20051,3633,9569,13501
KS,20053,646,2106,2806
KS,20055,4155,7079,11466
KS,20057,2926,5763,8850
KS,20059,3623,8326,12247
KS,20061,3825,5193,9311
KS,20063,163,1256,1433
KS,20065,222,1052,1302
KS,20067,497,1910,2452
KS,20069,337,1871,2240
KS,20071,77,537,629
KS,20073,562,2404,3030
KS,20075,134,684,837
KS,20077,453,2128,2626
KS,20079,6652,10015,17034
KS,20081,261,1103,1383
KS,20083,151,866,1033
KS,20085,1852,4435,6468
KS,20087,3106,6193,9581
KS,20089,211,1369,1608
KS,20091,177925,151280,336277
KS,20093,255,1134,1413
KS,20095,745,3102,3929
KS,20097,153,957,1139
KS,20099,2607,5639,8414
KS,20101,114,757,888
KS,20103,13753,21378,36115
KS,20105,266,1273,1570
KS,20107,863,3940,4903
KS,20109,185,1231,1437
KS,20111,5878,7381,13622
KS,20113,3977,9562,13868
KS,20115,1463,4377,5969
KS,20117,1239,3662,5023
KS,20119,261,1508,1807
KS,20121,5133,12116,17624
KS,20123,547,2454,3039
KS,20125,3147,9768,13177
KS,20127,721,2085,2849
KS,20129,147,1004,1163
KS,20131,920,4612,5625
KS,20133,1727,4795,6629
KS,20135,147,1315,1487
KS,20137,361,1977,2390
KS,20139,2099,5591,7893
KS,20141,275,1590,1899
KS,20143,504,2581,3159
KS,20145,635,2028,2712
KS,20147,373,2855,3278
KS,20149,3257,9247,12815
KS,20151,924,3087,4107
KS,20153,214,1253,1496
KS,20155,8602,17948,27245
KS,20157,420,2172,2643
KS,20159,953,3187,4230
KS,20161,11940,11174,23855
KS,20163,332,2294,2661
KS,20165,291,1425,1748
KS,20167,591,2765,3429
KS,20169,8022,15313,23911
KS,20171,290,1991,2322
KS,20173,90820,117653,213552
KS,20175,1736,3285,5099
KS,20177,42032,39890,84061
KS,20179,144,1237,1397
KS,20181,386,2222,2673
KS,20183,328,1734,2092
KS,20185,355,1631,2017
KS,20187,147,607,767
KS,20189,233,1731,1997
KS,20191,2551,7998,10779
KS,20193,622,3106,3794
KS,20195,238,1341,1603
KS,20197,956,2813,3861
KS,20199,44,762,817
KS,20201,467,2332,2843
KS,20203,147,803,961
KS,20205,711,3111,3899
KS,20207,283,1189,1495
KS,20209,35566,18512,55107
KY,21001,1391,7275,8766
KY,21003,1642,7586,9363
KY,21005,3339,9651,13261
KY,21007,825,3356,4225
KY,21009,5115,14646,20079
KY,21011,1573,3986,5627
KY,21013,1789,8140,10044
KY,21015,20897,44811,66953
KY,21017,3296,6190,9643
KY,21019,7083,14295,21741
KY,21021,5298,8872,14467
KY,21023,799,3397,4244
KY,21025,1301,4265,5667
KY,21027,2350,7701,10197
KY,21029,10551,30708,41964
KY,21031,1078,4960,6125
KY,21033,1432,4905,6436
KY,21035,5794,11351,17443
KY,21037,19373,28482,48833
KY,21039,463,2159,2638
KY,21041,1116,2954,4135
KY,21043,2642,8775,11585
KY,21045,918,6179,7180
KY,21047,8296,15080,23863
KY,21049,6004,11811,18128
KY,21051,831,6677,7590
KY,21053,603,4280,4932
KY,21055,731,3451,4242
KY,21057,508,2769,3309
KY,21059,17283,31023,49240
KY,21061,1227,4828,6131
KY,21063,712,2246,2995
KY,21065,1355,5100,6538
KY,21067,90566,58845,152664
KY,21069,1474,5534,7066
KY,21071,3855,12211,16381
KY,21073,12650,12900,26059
KY,21075,791,1605,2421
KY,21077,822,2955,3849
KY,21079,1830,6754,8703
KY,21081,2205,8725,11106
KY,21083,3559,13206,17018
KY,21085,2400,9453,11983
KY,21087,920,4838,5812
KY,21089,4873,13064,18176
KY,21091,1351,3145,4587
KY,21093,18101,29832,48941
KY,21095,1494,9367,10971
KY,21097,2400,6334,8853
KY,21099,1908,6345,8369
KY,21101,7639,12730,20688
KY,21103,2142,5843,8107
KY,21105,458,1714,2199
KY,21107,5439,15757,21509
KY,21109,605,5450,6116
KY,21111,228288,150619,386093
KY,21113,8567,17096,26251
KY,21115,1607,8446,10193
KY,21117,32265,48123,82184
KY,21119,1412,4779,6251
KY,21121,2111,11010,13279
KY,21123,1504,5685,7301
KY,21125,4474,23234,28097
KY,21127,1238,5633,6955
KY,21129,459,2159,2659
KY,21131,446,4318,4814
KY,21133,1799,7226,9135
KY,21135,823,4986,5883
KY,21137,2254,8489,10913
KY,21139,939,4010,5003
KY,21141,3094,9067,12346
KY,21143,1092,3100,4228
KY,21145,11190,21820,33521
KY,21147,725,5664,6435
KY,21149,1074,3633,4782
KY,21151,15580,27353,43903
KY,21153,1213,4174,5446
KY,21155,2722,6113,8928
KY,21157,4071,13297,17601
KY,21159,403,3496,3930
KY,21161,2362,5477,7958
KY,21163,3632,10184,14110
KY,21165,750,2311,3102
KY,21167,3033,8506,11735
KY,21169,973,3957,5014
KY,21171,657,4628,5330
KY,21173,3630,8993,12837
KY,21175,1172,4297,5535
KY,21177,3544,10496,14229
KY,21179,7188,15703,23245
KY,21181,954,2407,3396
KY,21183,2404,8582,11127
KY,21185,14504,22651,37936
KY,21187,1098,4292,5456
KY,21189,216,1670,1895
KY,21191,1322,5515,6925
KY,21193,2350,8118,10606
KY,21195,4862,20279,25368
KY,21197,1367,4041,5505
KY,21199,5664,25441,31537
KY,21201,253,884,1146
KY,21203,1134,6577,7783
KY,21205,3880,5994,10058
KY,21207,1329,7506,8939
KY,21209,10564,17764,28950
KY,21211,8076,15054,23542
KY,21213,2681,5888,8732
KY,21215,2530,8737,11429
KY,21217,2961,9376,12510
KY,21219,1202,4060,5351
KY,21221,1791,5487,7375
KY,21223,1012,3227,4319
KY,21225,1529,4965,6576
KY,21227,22477,31790,55351
KY,21229,1644,4482,6223
KY,21231,1700,7430,9240
KY,21233,1412,4506,5991
KY,21235,2552,12567,15347
KY,21237,837,2097,2981
KY,21239,6530,8362,15211
LA,22001,5443,22596,28425
LA,22003,2108,7574,9810
LA,22005,20399,40687,62325
LA,22007,3833,7271,11235
LA,22009,4979,12028,17292
LA,22011,2542,13575,16357
LA,22013,3067,3891,7050
LA,22015,15662,38074,54655
LA,22017,55110,48021,104912
LA,22019,25982,55066,82663
LA,22021,745,3976,4762
LA,22023,324,3671,4039
LA,22025,1269,3541,4858
LA,22027,2731,3770,6580
LA,22029,3177,5550,8828
LA,22031,5457,9112,14736
LA,22033,115577,88420,208182
LA,22035,1900,1080,3036
LA,22037,4280,6064,10509
LA,22039,4158,11053,15412
LA,22041,2658,6970,9720
LA,22043,1157,8117,9392
LA,22045,11027,21251,32713
LA,22047,8514,7893,16719
LA,22049,2143,5394,7632
LA,22051,84477,105949,193733
LA,22053,3208,11423,14841
LA,22055,39685,72519,114521
LA,22057,8672,36024,45388
LA,22059,638,6378,7077
LA,22061,7559,11311,19275
LA,22063,9249,54877,65230
LA,22065,2654,1930,4670
LA,22067,4946,6510,11574
LA,22069,6896,9358,16554
LA,22071,147854,26664,177819
LA,22073,25913,42255,69166
LA,22075,3414,7412,11014
LA,22077,4683,7503,12371
LA,22079,19475,38347,58865
LA,22081,1644,2413,4132
LA,22083,3225,6607,9940
LA,22085,1731,8776,10596
LA,22087,6151,11179,17650
LA,22089,9800,18233,28517
LA,22091,3346,2714,6158
LA,22093,6510,5954,12590
LA,22095,13582,7538,21432
LA,22097,17372,23171,41154
LA,22099,8439,18203,27038
LA,22101,8055,14811,23186
LA,22103,37746,99666,140110
LA,22105,18887,37806,57661
LA,22107,1329,1197,2554
LA,22109,11198,34339,46240
LA,22111,2654,8407,11201
LA,22113,5009,21930,27324
LA,22115,2898,14107,17268
LA,22117,5970,13307,19513
LA,22119,6172,11830,18216
LA,22121,6200,7684,14097
LA,22123,710,4317,5052
LA,22125,2298,3863,6268
LA,22127,1543,4619,6225
MD,24001,8464,20213,29130
MD,24003,150244,117544,273064
MD,24005,195505,125463,326441
MD,24009,22185,24957,48023
MD,24011,4704,9899,14940
MD,24013,35316,58883,96848
MD,24015,16053,28797,45853
MD,24017,56204,24227,81617
MD,24019,5295,7804,13371
MD,24021,74622,62043,139754
MD,24023,3098,11654,15045
MD,24025,57749,77238,137829
MD,24027,123629,46779,173750
MD,24029,4914,4900,10015
MD,24031,309170,79233,394691
MD,24033,353732,34812,394664
MD,24035,10209,18179,28990
MD,24037,22511,30245,54097
MD,24039,3542,5407,9075
MD,24041,10408,10524,21305
MD,24043,24869,39148,65209
MD,24045,20150,21881,42947
MD,24047,9795,16380,26511
MD,24510,193130,23872,220296
MI,26001,2142,4848,7063
MI,26003,2053,3014,5135
MI,26005,24447,41381,67182
MI,26007,6000,10686,16966
MI,26009,7289,9783,17347
MI,26011,2773,5928,8830
MI,26013,1478,2512,4036
MI,26015,11804,23473,35914
MI,26017,26653,33347,60985
MI,26019,5480,6600,12259
MI,26021,37438,43518,82378
MI,26023,6161,14067,20541
MI,26025,28417,35900,65568
MI,26027,9122,16686,26221
MI,26029,6939,9841,17000
MI,26031,5435,10171,15849
MI,26033,6651,10682,17675
MI,26035,5200,10860,16280
MI,26037,21963,25095,47902
MI,26039,2612,4955,7665
MI,26041,7605,13206,21154
MI,26043,4569,8469,13268
MI,26045,31297,31797,64451
MI,26047,9662,12135,22176
MI,26049,120082,99199,222969
MI,26051,4524,9893,14603
MI,26053,3573,4600,8279
MI,26055,28682,30502,60226
MI,26057,6693,12102,19148
MI,26059,5883,17037,23288
MI,26061,7755,10380,18540
MI,26063,5349,11949,17523
MI,26065,94221,47640,144797
MI,26067,10899,20655,32201
MI,26069,5371,9760,15386
MI,26071,2493,4216,6795
MI,26073,14072,14815,29409
MI,26075,32004,47381,81032
MI,26077,83674,56823,143363
MI,26079,3003,7436,10627
MI,26081,186753,165318,359223
MI,26083,672,862,1557
MI,26085,2288,3946,6332
MI,26087,16368,35480,52639
MI,26089,8793,7915,16930
MI,26091,20916,31539,53448
MI,26093,48218,76980,127162
MI,26095,842,2109,3101
MI,26097,2632,4304,7015
MI,26099,225561,264535,496523
MI,26101,6107,8321,14654
MI,26103,20465,16288,37460
MI,26105,6802,10207,17249
MI,26107,7373,13265,21077
MI,26109,4314,8120,12622
MI,26111,20493,27675,49175
MI,26113,1967,6648,8755
MI,26115,32975,52710,87148
MI,26117,9703,21815,32086
MI,26119,1628,4171,5863
MI,26121,45508,44544,91701
MI,26123,7874,18864,27164
MI,26125,433982,325916,771769
MI,26127,4944,8892,14080
MI,26129,3475,8253,11907
MI,26131,1391,2358,3810
MI,26133,3214,8928,12340
MI,26135,1342,3466,4874
MI,26137,4743,9779,14756
MI,26139,64566,100511,168074
MI,26141,2912,5343,8360
MI,26143,5166,9670,15018
MI,26145,51088,50785,103347
MI,26147,31363,59186,92064
MI,26149,9262,18128,27982
MI,26151,5966,16194,22446
MI,26153,1589,3090,4745
MI,26155,15371,23154,39250
MI,26157,8713,20310,29495
MI,26159,16800,21591,39060
MI,26161,157130,56241,216924
MI,26163,587074,264149,861821
MI,26165,5838,12102,18292
MN,27001,3607,6258,10010
MN,27003,100892,104903,210491
MN,27005,6592,12452,19418
MN,27007,11426,12188,24131
MN,27009,7281,14382,22219
MN,27011,1052,1862,2972
MN,27013,18330,16731,35969
MN,27015,4750,9550,14630
MN,27017,10094,9787,20361
MN,27019,30770,34012,66119
MN,27021,6342,11621,18256
MN,27023,2226,4250,6611
MN,27025,11803,21915,34493
MN,27027,16345,15031,32215
MN,27029,1258,3371,4705
MN,27031,2496,1203,3785
MN,27033,1834,4165,6097
MN,27035,13726,25676,40073
MN,27037,145510,109183,261107
MN,27039,4074,7774,12153
MN,27041,7868,15799,24120
MN,27043,2531,5191,7892
MN,27045,4551,7301,12104
MN,27047,6889,9578,16791
MN,27049,11805,16052,28566
MN,27051,1300,2269,3650
MN,27053,532608,205966,753159
MN,27055,4851,6334,11438
MN,27057,4462,8202,12927
MN,27059,7138,16491,24162
MN,27061,10787,15239,26512
MN,27063,1744,3945,5809
MN,27065,2774,6278,9224
MN,27067,8440,14437,23313
MN,27069,1006,1546,2639
MN,27071,2657,4131,6920
MN,27073,1445,2527,4039
MN,27075,3646,3392,7200
MN,27077,671,1704,2405
MN,27079,5671,10775,16775
MN,27081,937,2120,3114
MN,27083,4630,7979,12889
MN,27085,6413,13986,20888
MN,27087,1112,1143,2303
MN,27089,1295,3721,5101
MN,27091,3304,7476,11038
MN,27093,3867,9358,13496
MN,27095,4403,9953,14666
MN,27097,4367,14819,19523
MN,27099,8997,10067,19441
MN,27101,1449,3363,4883
MN,27103,9622,9018,19124
MN,27105,2928,5598,8708
MN,27107,1404,1954,3434
MN,27109,49492,39692,91086
MN,27111,11940,23794,36372
MN,27113,2568,4532,7263
MN,27115,5416,10256,15998
MN,27117,1306,3553,4932
MN,27119,5435,9857,15581
MN,27121,2478,4413,7019
MN,27123,211362,77324,294513
MN,27125,689,1450,2190
MN,27127,2358,5775,8290
MN,27129,2497,5465,8115
MN,27131,17402,17463,35608
MN,27133,1554,3580,5235
MN,27135,2182,6053,8390
MN,27137,67836,49214,119859
MN,27139,40037,45871,87729
MN,27141,18065,36221,55486
MN,27143,2417,5864,8451
MN,27145,31883,50960,84647
MN,27147,7917,12656,21076
MN,27149,1921,3044,5062
MN,27151,1784,3316,5185
MN,27153,3286,9755,13238
MN,27155,662,1173,1864
MN,27157,4696,8153,13097
MN,27159,2023,5520,7661
MN,27161,3496,6624,10389
MN,27163,89163,73764,166266
MN,27165,1987,3103,5191
MN,27167,1027,2333,3435
MN,27169,13333,13227,27108
MN,27171,30854,53565,86535
MN,27173,1685,3734,5525
MS,28001,6914,5222,12268
MS,28003,2741,12689,15639
MS,28005,2114,3781,5974
MS,28007,3542,5178,8832
MS,28009,1661,2553,4257
MS,28011,7203,4260,11631
MS,28013,1878,4592,6536
MS,28015,1203,3257,4509
MS,28017,3808,4173,8143
MS,28019,1170,2971,4175
MS,28021,2337,479,2886
MS,28023,2815,5372,8277
MS,28025,5728,4147,10054
MS,28027,5189,1846,7136
MS,28029,5227,5407,10800
MS,28031,3382,5811,9294
MS,28033,27733,45788,75013
MS,28035,10603,15326,26540
MS,28037,1476,2894,4431
MS,28039,1208,9602,10940
MS,28041,952,4740,5748
MS,28043,2866,4889,7838
MS,28045,3095,13999,17403
MS,28047,18499,41281,60941
MS,28049,59192,21242,81811
MS,28051,5182,1196,6542
MS,28053,2994,1115,4164
MS,28055,355,308,676
MS,28057,1230,9374,10743
MS,28059,12061,32563,45486
MS,28061,4287,4256,8642
MS,28063,3325,529,3907
MS,28065,3590,2529,6199
MS,28067,7017,19130,26492
MS,28069,2275,1609,3935
MS,28071,6904,9878,17163
MS,28073,5821,17700,23952
MS,28075,12668,17812,30811
MS,28077,2240,4254,6564
MS,28079,3358,4973,8407
MS,28081,9910,21297,31762
MS,28083,5444,2623,8178
MS,28085,3978,10107,14247
MS,28087,12913,13699,26993
MS,28089,18931,26188,45832
MS,28091,3421,7783,11338
MS,28093,6283,6591,13064
MS,28095,4565,9677,14461
MS,28097,2084,2866,4972
MS,28099,3247,8311,11698
MS,28101,2542,6037,8678
MS,28103,2867,1057,3981
MS,28105,10257,8972,19737
MS,28107,7276,7976,15421
MS,28109,4068,19283,23656
MS,28111,1340,4426,5825
MS,28113,7328,7106,14640
MS,28115,2580,11425,14215
MS,28117,2128,8274,10539
MS,28119,2138,1020,3211
MS,28121,13496,39025,53400
MS,28123,3575,5688,9386
MS,28125,1440,687,2157
MS,28127,3384,6552,10066
MS,28129,1518,5697,7285
MS,28131,1208,5239,6546
MS,28133,6741,2784,9628
MS,28135,3105,2488,5691
MS,28137,4122,8619,12923
MS,28139,1906,7987,10001
MS,28141,1050,7854,9057
MS,28143,2525,912,3494
MS,28145,1792,9052,10989
MS,28147,2236,3426,5721
MS,28149,10681,10236,21162
MS,28151,6218,4114,10514
MS,28153,3592,6264,9988
MS,28155,1024,4255,5347
MS,28157,2730,1311,4098
MS,28159,4009,5084,9184
MS,28161,2767,3658,6506
MS,28163,4533,4370,9012
MO,29001,3705,6391,10337
MO,29003,2351,7256,9775
MO,29005,564,2199,2814
MO,29007,2703,7727,10660
MO,29009,2948,12425,15598
MO,29011,844,5168,6077
MO,29013,1672,6595,8435
MO,29015,2179,8106,10478
MO,29017,749,5162,5981
MO,29019,49999,38596,91004
MO,29021,13445,22450,36713
MO,29023,3301,14599,18165
MO,29025,897,3725,4696
MO,29027,5868,14812,21178
MO,29029,5640,18825,24774
MO,29031,10738,28873,40252
MO,29033,785,3706,4531
MO,29035,418,2451,2906
MO,29037,19035,37172,57524
MO,29039,1143,5786,7039
MO,29041,916,3109,4074
MO,29043,11126,34904,46904
MO,29045,678,2672,3394
MO,29047,59519,64583,126618
MO,29049,2894,7789,10894
MO,29051,12687,26066,39486
MO,29053,2249,6272,8710
MO,29055,2113,8725,10973
MO,29057,656,3414,4123
MO,29059,1380,6620,8122
MO,29061,740,3077,3884
MO,29063,930,3827,4842
MO,29065,1056,5987,7142
MO,29067,1012,5896,6994
MO,29069,2200,8135,10419
MO,29071,14561,38034,53750
MO,29073,1601,6222,7934
MO,29075,613,2580,3239
MO,29077,53307,81312,138074
MO,29079,799,3585,4437
MO,29081,597,3198,3825
MO,29083,2615,8019,10776
MO,29085,1054,3965,5080
MO,29087,338,1976,2344
MO,29089,1412,3552,5089
MO,29091,3214,15174,18637
MO,29093,945,3596,4592
MO,29095,198031,125897,330425
MO,29097,13539,37714,52515
MO,29099,37507,77021,116629
MO,29101,6961,15468,23134
MO,29103,340,1486,1856
MO,29105,2779,13755,16819
MO,29107,4470,12262,17083
MO,29109,3214,14421,17930
MO,29111,984,3541,4607
MO,29113,6553,21702,28814
MO,29115,1274,4344,5700
MO,29117,1409,5266,6755
MO,29119,1437,7465,9050
MO,29121,1661,6075,7834
MO,29123,1017,4581,5671
MO,29125,814,3890,4774
MO,29127,3201,9910,13370
MO,29129,222,1541,1779
MO,29131,2038,10175,12379
MO,29133,1178,3537,4756
MO,29135,1307,5738,7150
MO,29137,931,3466,4467
MO,29139,1206,4457,5770
MO,29141,1924,7439,9484
MO,29143,1748,5447,7248
MO,29145,5793,22090,28396
MO,29147,2849,6855,9874
MO,29149,823,3847,4742
MO,29151,1031,6341,7449
MO,29153,752,4064,4870
MO,29155,1556,4116,5727
MO,29157,1661,7634,9429
MO,29159,4776,13835,19069
MO,29161,5619,13438,19495
MO,29163,1717,5856,7686
MO,29165,28111,29251,58523
MO,29167,2883,11849,15059
MO,29169,3735,10326,14405
MO,29171,361,1984,2361
MO,29173,1205,4396,5662
MO,29175,2485,8018,10742
MO,29177,3107,8328,11654
MO,29179,529,2733,3298
MO,29181,833,4838,5743
MO,29183,89346,128193,222175
MO,29185,988,3930,4972
MO,29186,2713,6627,9495
MO,29187,7044,20506,27996
MO,29189,322802,196808,528075
MO,29195,2903,6447,9528
MO,29197,373,1606,2005
MO,29199,387,1560,1985
MO,29201,3753,13769,17748
MO,29203,706,3164,3908
MO,29205,592,2699,3355
MO,29207,1814,11460,13410
MO,29209,3486,14716,18378
MO,29211,478,1974,2471
MO,29213,5325,20426,26240
MO,29215,1716,9478,11332
MO,29217,1902,7135,9164
MO,29219,4769,13222,18373
MO,29221,1804,8046,9971
MO,29223,844,4984,5874
MO,29225,3572,14874,18776
MO,29227,215,877,1107
MO,29229,1167,7452,8737
MO,29510,108385,21185,131765
MT,30001,1608,3923,5661
MT,30003,2401,2185,4669
MT,30005,1589,1469,3121
MT,30007,830,3139,4056
MT,30009,2412,4424,7045
MT,30011,74,775,864
MT,30013,15384,23199,39688
MT,30015,988,1888,2967
MT,30017,1510,4204,5878
MT,30019,195,799,1014
MT,30021,962,3758,4837
MT,30023,2562,2184,4888
MT,30025,172,1375,1575
MT,30027,1491,4830,6487
MT,30029,20238,38233,60132
MT,30031,36964,31639,71363
